2010_avg_ridership,2011_avg_ridership,2013_avg_ridership,2014_avg_ridership,borough,change_from_2013,closed_2014,prc_change_from_2013,station_trains
34984,36026,36562,36208,Manhattan,354,,-0.97,68 St-Hunter College (6)
26411,27015,30640,34830,Manhattan,4190,,13.67,"Bowling Green (4,5)"
30497,31181,32783,32863,Manhattan,80,,0.24,33 St (6)
30929,31206,31777,31212,Manhattan,565,,-1.78,23 St (6)
27990,28341,29425,30168,Manhattan,743,,2.53,"125 St (4,5,6)"
27958,27497,28159,29414,Manhattan,1255,,4.46,"57 St-7 Av (N,Q,R)"
25100,27049,28749,29327,Manhattan,578,,2.01,"23 St (F,M)"
24584,25084,27395,28428,Manhattan,1033,,3.77,"125 St (A,B,C,D)"
27476,27368,27780,28287,Brooklyn,507,,1.83,"Crown Heights-Utica Av (3,4)"
25371,25559,26706,28075,Manhattan,1369,,5.13,"Wall St (2,3)"
26494,27123,27728,27784,Queens,56,,0.2,"Forest Hills-71 Av (E,F,M,R)"
26763,27280,28289,27693,Queens,596,,-2.11,"Kew Gardens-Union Turnpike (E,F)"
26159,26631,26972,27541,Bronx,569,,2.11,"161 St-Yankee Stadium (B,D,4)"
24636,25062,26192,27251,Manhattan,1059,,4.04,50 St (1)
21149,22520,25755,27224,Brooklyn,1469,,5.7,Bedford Av (L)
23239,23970,25939,26761,Manhattan,822,,3.17,"5 Av-53 St (E,M)"
25284,25480,25356,26546,Manhattan,1190,,4.69,"49 St (N,Q,R)"
24870,25848,26232,26529,Manhattan,297,,1.13,96 St (6)
23572,24019,25041,25659,Manhattan,618,,2.47,"168 St (A,C,1)"
21934,22900,24782,25620,Manhattan,838,,3.38,"23 St (C,E)"
22551,22986,25078,25619,Manhattan,541,,2.16,"Wall St (4,5)"
23955,24022,24001,25161,Bronx,1160,,4.83,"3 Av-149 St (2,5)"
21717,22436,23651,24311,Manhattan,660,,2.79,66 St-Lincoln Center (1)
21157,22039,23467,24286,Manhattan,819,,3.49,1 Av (L)
20798,22127,23691,24154,Manhattan,463,,1.95,"Delancey St (F)/Essex St (J,M,Z)"
23304,23284,23770,24153,Manhattan,383,,1.61,"Grand St (B,D)"
20007,22080,22760,24060,Manhattan,1300,,5.71,"23 St (N,R)"
21619,22683,23147,23862,Manhattan,715,,3.09,"Chambers St (1,2,3)"
22274,22794,23696,23856,Manhattan,160,,0.68,28 St (6)
20730,21576,22879,23805,Manhattan,926,,4.05,"145 St (A,B,C,D)"
20706,21630,23012,23747,Queens,735,,3.19,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)"
22766,23174,23280,23093,Queens,187,,-0.8,Jamaica-179 St (F)
29014,29583,20405,23017,Manhattan,2612,Yes,12.8,South Ferry (1)/Whitehall St (R)
24848,21610,20446,22433,Queens,1987,,9.72,"Court Sq (E,G,M,7)"
22673,22502,22276,22156,Queens,120,,-0.54,"Woodhaven Blvd (M,R)"
21355,22168,21941,21865,Brooklyn,76,,-0.35,"Flatbush Av-Brooklyn College (2,5)"
21593,21240,20818,21116,Queens,298,,1.43,Junction Blvd (7)
16936,17403,19406,20993,Manhattan,1587,,8.18,"50 St (C,E)"
18901,19269,19766,20221,Manhattan,455,,2.3,86 St (1)
17975,18986,19738,19974,Manhattan,236,,1.2,"Canal St (A,C,E)"
17751,18583,19216,19814,Queens,598,,3.11,103 St-Corona Plaza (7)
18200,18797,18394,19245,Manhattan,851,,4.63,"5 Av-59 St (N,Q,R)"
16445,16689,18167,19203,Brooklyn,1036,,5.7,"Myrtle-Wyckoff Avs (L,M)"
19091,17639,18799,19010,Brooklyn,211,,1.12,"Kings Hwy (B,Q)"
17466,17886,18298,18413,Queens,115,,0.63,"Grand Av-Newtown (M,R)"
17630,17632,17914,17803,Manhattan,111,,-0.62,Astor Place (6)
12724,15516,16614,17746,Bronx,1132,Yes,6.81,Parkchester (6)
14696,14876,17638,17473,Brooklyn,165,,-0.94,"Church Av (B,Q)"
16905,17180,17318,17350,Brooklyn,32,,0.18,"DeKalb Av (B,Q,R)"
16759,17759,16597,17248,Manhattan,651,,3.92,"8 St-New York University (N,R)"
17090,17364,17801,17183,Manhattan,618,,-3.47,2 Av (F)
16148,16541,17039,17178,Queens,139,,0.82,"Astoria-Ditmars Blvd (N,Q)"
15264,15868,16843,17062,Brooklyn,219,,1.3,"Nostrand Av (A,C)"
15952,16276,16576,16987,Manhattan,411,,2.48,79 St (1)
14004,14530,15800,16833,Manhattan,1033,,6.54,"7 Av (B,D,E)"
16680,16734,16559,16807,Queens,248,,1.5,Woodside-61 St (7)
14940,15557,16334,16771,Queens,437,,2.68,"63 Dr-Rego Park (M,R)"
16647,16679,16743,16747,Queens,4,,0.02,90 St-Elmhurst Av (7)
15655,16206,16675,16674,Manhattan,1,,-0.01,116 St (6)
15210,15673,16189,16641,Manhattan,452,,2.79,103 St (6)
15808,16130,16363,16460,Manhattan,97,,0.59,116 St-Columbia University (1)
15575,15811,15662,15899,Queens,237,,1.51,82 St-Jackson Hts (7)
13908,14814,15736,15878,Manhattan,142,,0.9,Houston St (1)
14071,14795,15775,15787,Brooklyn,12,,0.08,"Franklin Av (2,3,4,5)/Botanic Garden (S)"
13878,14101,15351,15744,Manhattan,393,,2.56,"125 St (2,3)"
13179,13634,15149,15568,Manhattan,419,,2.77,28 St (1)
14379,14663,15283,15542,Manhattan,259,,1.69,23 St (1)
14426,15045,15363,15506,Manhattan,143,,0.93,57 St (F)
15816,15616,15404,15493,Manhattan,89,,0.58,Lexington Av-63 St (F)
14826,16223,15261,15404,Manhattan,143,,0.94,"Prince St (N,R)"
13031,13641,14690,15335,Manhattan,645,,4.39,"135 St (2,3)"
